Type,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Sector,Subsector,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,active,done,skip,-12w,-11w,-10w,-9w,-8w,-7w,-6w,-5w,-4w,-3w,-2w,-1w,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,61w,62w,63w,64w,65w,66w,67w,68w,69w,70w,71w,72w,73w,74w,75w,76w,77w,78w,79w,80w,81w,82w,83w,84w,85w,86w,87w,88w,89w,90w,91w,92w,93w,94w,95w,Days_Between_TnF,Extra_Notes,Exchange,Stock_Type,Market_Cap,State,Average_Volumn,extra_notes
,2003-07-28,2003-07-28,GVLA,Gavella Corp,Real Estate,Financial,Real Estate,2.0,P - Purchase,0.0,0.0,1322057.0,0.0,0.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,No Data
,2003-07-28,2003-07-28,ALFC,Atlantic Liberty Financial Corp,"Savings Institution, Federally Chartered",Financial,Depository Institutions,2.0,P - Purchase,0.0,1000.0,57607.0,2.0,19005.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-25,FOTO,Photoworks Inc ,Photofinishing Laboratories,Services,Business Services,1.0,P - Purchase,0.0,10000.0,20000.0,100.0,2800.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,No Data
M,2003-07-28,2003-07-24,NVSRF,Nevada Star Resource Corp,Mining & Quarrying of Nonmetallic Minerals,Mining,Mining Nonmetallic Minerals,1.0,P - Purchase,0.0,15000.0,11324396.0,0.0,6250.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data
DM,2003-07-28,2003-07-24,ETC,Environmental Tectonics Corp,"Miscellaneous Electrical Machinery, Equipment & Supplies",Manufacturing,Electronics,1.0,P - Purchase,0.0,10100.0,689800.0,1.0,53182.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-24,LCNB,Lcnb Corp,National Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,0.0,500.0,5340.0,10.0,31875.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data
,2003-07-28,2003-07-24,CXP,Centex Construction Products Inc,"Cement, Hydraulic",Manufacturing,"Stone, Clay, Glass, & Concrete",1.0,P - Purchase,0.0,3000.0,3400.0,750.0,127484.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-24,KOSS,Koss Corp,Household Audio & Video Equipment,Manufacturing,Electronics,1.0,P - Purchase,0.0,180.0,9570.0,2.0,3510.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-24,IASG,Integrated Alarm Services Group Inc,Miscellaneous Business Services,Services,Business Services,1.0,P - Purchase,0.0,10000.0,10000.0,0.0,96442.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-24,UNIZ,Unizan Financial Corp,National Commercial Banks,Financial,Depository Institutions,11.0,P - Purchase,0.0,1669.0,502983.0,0.0,31711.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-24,SLI,Sl Industries Inc,Electric Lighting & Wiring Equipment,Manufacturing,Electronics,1.0,P - Purchase,0.0,1500.0,789050.0,0.0,9225.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
M,2003-07-28,2003-07-24,SLR,Solectron Corp,Printed Circuit Boards,Manufacturing,Electronics,1.0,P - Purchase,0.0,20000.0,140000.0,17.0,100500.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
,2003-07-28,2003-07-24,LDSH,Ladish Co Inc,Metal Forgings & Stampings,Manufacturing,Fabricated Metal Products,1.0,P - Purchase,0.0,1500.0,1500.0,0.0,9675.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,No Data or data doesnt belong to company
D,2003-07-28,2003-07-23,HMPR,Hampton Roads Bankshares Inc,National Commercial Banks,Financial,Depository Institutions,2.0,P - Purchase,0.0,2375.0,396713.0,1.0,22615.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,No Data
,2003-07-28,2003-07-23,SEYI,Scientific Energy Inc,Semiconductors & Related Devices,Manufacturing,Electronics,1.0,P - Purchase,0.0,3000000.0,9600205.0,45.0,240000.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,No Data
