Type,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Sector,Subsector,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,active,done,skip,-12w,-11w,-10w,-9w,-8w,-7w,-6w,-5w,-4w,-3w,-2w,-1w,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,61w,62w,63w,64w,65w,66w,67w,68w,69w,70w,71w,72w,73w,74w,75w,76w,77w,78w,79w,80w,81w,82w,83w,84w,85w,86w,87w,88w,89w,90w,91w,92w,93w,94w,95w,Days_Between_TnF,Extra_Notes,Exchange,Stock_Type,Market_Cap,State,Average_Volumn,extra_notes,96w,97w,98w,99w,100w,exchange,market_cap,state,stock_type
,2003-09-26,2003-09-27,MYNG,Golden Eagle International Inc,Metal Mining,Mining,Metal Mining,1.0,P - Purchase,0.0,57500.0,37500.0,-288.0,6600.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,No Data,,,,,,,,,
M,2003-09-26,2003-09-24,CAND,Candies Inc,"Footwear, (No Rubber)",Manufacturing,Leather,1.0,P - Purchase,2.23,150000.0,285194.0,111.0,275122.0,False,False,False,,,,,,,,,,,1.84,1.75,2.23,2.2,2.57,2.42,2.27,2.18,2.22,2.11,2.05,2.12,1.9,1.85,1.89,2.12,2.27,2.33,2.31,2.29,2.66,2.49,2.34,2.27,2.35,2.22,2.22,2.27,2.24,2.26,2.45,2.08,2.23,2.47,2.53,2.51,2.48,2.69,2.87,2.6,2.73,2.64,2.58,2.69,2.73,2.6,2.59,2.66,2.68,2.76,3.09,3.46,4.2,4.71,4.34,4.06,4.25,4.41,5.71,6.17,5.73,4.77,5.59,4.98,4.74,5.15,5.04,4.9,4.94,4.99,4.96,5.1,5.07,5.11,5.16,5.08,5.04,4.7,4.5,4.43,4.57,5.13,5.18,4.97,4.83,4.83,5.28,5.83,6.35,6.78,6.39,,,,,,,,2,,,,,,,,,,,,,,,,
D,2003-09-26,2003-09-08,NYFX,Nyfix Inc,Computer Integrated Systems Design,Services,Business Services,2.0,P - Purchase,5.71,13919.0,1422065.0,1.0,80822.0,False,False,False,,,,,,,,,,,6.26,5.79,5.71,6.25,6.52,7.43,7.36,7.96,8.35,8.08,8.3,8.46,8.57,8.21,7.91,7.86,7.9,7.78,7.12,7.03,7.16,7.12,6.82,6.53,6.75,5.19,4.95,5.4,5.18,4.96,4.81,4.83,4.66,4.64,4.25,4.48,4.52,4.26,4.03,5.15,5.21,6.06,6.71,6.7,6.17,6.31,6.13,4.9,4.83,4.7,4.71,5.95,6.21,6.35,5.77,6.1,5.9,6.15,5.77,5.46,5.0,4.92,4.92,4.76,4.55,4.59,4.85,5.01,4.92,5.25,5.16,6.52,7.26,7.61,6.83,6.42,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
,2003-09-26,2003-05-24,FIME,First Farmers & Merchants Corp,State Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,0.0,14877.0,22844.0,187.0,1115775.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,No Data,,,,,,,,,
,2003-09-26,2003-07-29,PVLN,Pavilion Bancorp Inc,"Savings Institution, Federally Chartered",Financial,Depository Institutions,3.0,P - Purchase,0.0,2600.0,10495.0,33.0,128170.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,No Data,,,,,,,,,
D,2003-09-26,2003-09-24,HHGP,Hudson Highland Group Inc,Help Supply Services,Services,Business Services,2.0,P - Purchase,18.65,6000.0,39947.0,18.0,111650.0,False,False,False,,,,,,,,,,,19.7,18.48,18.65,20.15,22.73,23.18,23.07,21.83,20.25,20.75,18.89,20.88,19.74,20.54,22.3,24.03,27.14,26.44,26.61,26.33,24.7,25.5,23.07,22.7,24.8,24.7,25.91,27.33,29.89,29.04,29.11,30.56,30.18,27.56,26.67,26.36,28.59,30.28,30.25,30.47,30.77,28.54,28.39,27.26,30.0,27.74,27.47,27.05,26.93,28.42,30.14,30.66,29.66,29.29,28.59,28.71,28.67,28.69,29.49,28.32,27.56,27.62,26.54,28.06,27.93,28.82,27.74,26.54,26.3,27.04,29.8,34.64,34.48,33.32,16.89,16.93,17.47,17.05,16.57,15.83,14.99,15.21,13.95,15.29,14.49,14.75,15.9,16.13,15.98,15.84,15.3,15.7,16.03,17.53,20.03,21.46,22.28,22.23,2,,,,,,,,23.94,24.85,25.29,24.61,23.85,,,,
,2003-09-26,2003-07-22,SAVB,Savannah Bancorp Inc,National Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,15.99,300.0,9460.0,3.0,7202.0,False,False,False,,,,,,,,,,,,15.88,15.99,16.02,15.97,15.69,16.27,17.24,17.39,17.92,18.05,18.39,17.63,17.86,17.67,17.5,17.9,17.84,17.38,16.91,17.56,17.91,17.38,17.75,17.77,18.21,17.6,17.89,17.11,17.47,17.34,16.79,16.96,17.44,17.02,17.66,18.56,19.06,18.88,19.26,21.27,21.45,20.8,20.16,20.13,21.52,21.92,22.43,22.11,22.3,22.46,22.16,22.55,21.86,22.53,22.49,22.35,23.0,22.28,22.51,23.46,24.0,23.91,24.06,23.74,24.48,25.05,27.16,26.52,26.68,26.76,26.92,26.46,27.19,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,
,2003-09-26,2003-09-24,WSKI,Winter Sports Inc ,Miscellaneous Amusement & Recreation,Services,Amusement & Rec Svcs,1.0,P - Purchase,0.0,50.0,150.0,50.0,725.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,No Data,,,,,,,,,
,2003-09-26,2003-09-24,UBP,Urstadt Biddle Properties Inc,Real Estate Investment Trusts,Financial,Holding & Investment Offices,1.0,P - Purchase,13.06,10000.0,2743475.0,0.0,130980.0,False,False,False,,,,,,,,,,,13.08,13.05,13.06,13.15,13.14,13.48,13.23,13.27,13.38,13.53,13.47,13.72,13.84,13.8,13.8,13.62,13.85,13.9,13.96,13.92,13.81,13.88,13.86,13.82,14.25,14.71,14.74,14.88,14.0,13.67,13.23,13.0,13.14,13.0,13.02,13.46,13.82,13.61,13.92,14.06,14.41,14.78,14.0,13.9,13.9,14.46,15.01,15.64,15.62,15.11,15.05,14.68,14.93,15.02,15.12,15.42,14.86,15.23,15.29,15.75,15.73,15.92,15.84,16.41,15.93,15.99,16.29,16.05,16.0,16.05,16.0,16.04,16.19,15.81,15.89,15.62,15.13,14.93,14.76,14.75,15.38,15.6,16.12,16.37,16.54,16.68,16.93,16.3,16.83,17.34,17.19,17.12,17.48,16.81,16.67,16.61,16.8,16.88,2,,,,,,,,16.44,16.21,,,,XNYS,525177022.5,CT,
M,2003-09-26,2003-09-24,GTN,Gray Television Inc,Television Broadcasting Stations,Transportation & Utilities,Communications,3.0,P - Purchase,11.07,4095169.0,12393309.0,49.0,69070108.0,False,False,False,,,,,,,,,,,12.91,12.23,11.07,12.23,12.23,12.19,12.03,12.93,13.37,12.6,12.91,12.98,13.42,14.51,15.13,15.42,15.62,14.79,15.54,14.6,14.34,15.03,14.53,14.15,14.14,14.53,14.37,14.3,15.55,15.95,15.5,15.96,15.25,14.14,13.98,14.1,14.17,14.21,14.31,14.13,13.57,12.57,12.36,12.09,11.97,11.43,11.61,13.27,13.75,13.65,12.95,12.51,12.11,12.3,12.48,12.87,12.97,13.31,12.99,12.92,14.28,15.0,15.05,15.32,15.43,15.3,14.07,14.1,13.8,14.12,14.59,15.33,15.36,14.6,14.77,13.8,14.63,14.39,14.37,14.03,13.52,13.16,13.11,12.81,12.25,12.16,11.8,11.35,11.3,11.2,11.57,12.66,12.95,12.96,12.8,13.38,13.09,13.12,2,,,,,,,,11.35,12.27,12.23,11.68,10.63,XNYS,1011892896.96,,
