Type,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Sector,Subsector,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,active,done,skip,-12w,-11w,-10w,-9w,-8w,-7w,-6w,-5w,-4w,-3w,-2w,-1w,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,61w,62w,63w,64w,65w,66w,67w,68w,69w,70w,71w,72w,73w,74w,75w,76w,77w,78w,79w,80w,81w,82w,83w,84w,85w,86w,87w,88w,89w,90w,91w,92w,93w,94w,95w,Days_Between_TnF,Extra_Notes,Exchange,Stock_Type,Market_Cap,State,Average_Volumn,market_cap,state,96w,97w,98w,99w,100w,exchange,extra_notes,stock_type
,2006-01-27,2006-01-27,HBAN,Huntington Bancshares Inc,National Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,23.58,625.0,625.0,0.0,14806.0,False,False,False,23.24,23.69,24.04,24.12,24.14,24.13,24.18,24.1,23.94,24.42,24.38,22.86,23.58,22.73,22.95,23.33,24.11,23.26,23.69,23.87,24.26,24.18,23.67,24.03,23.39,23.66,24.2,23.62,23.37,23.77,23.86,23.64,23.45,23.63,23.5,23.17,23.82,24.27,24.67,23.75,23.95,23.88,23.96,23.88,24.17,24.14,23.9,23.86,24.25,24.17,24.31,24.36,24.58,24.8,24.24,24.57,24.77,24.75,23.62,23.87,23.54,23.02,22.94,23.31,23.71,24.02,23.4,22.53,22.3,22.34,22.39,21.85,21.58,22.27,22.06,22.32,22.53,22.44,22.4,22.39,22.28,22.34,22.19,22.31,22.58,21.32,20.31,19.55,18.64,17.58,18.28,17.75,17.24,16.88,17.23,17.5,17.34,18.17,17.9,17.22,17.71,16.46,16.44,14.32,13.85,15.34,16.13,14.07,0,,,,,,,34338990051.26,OH,14.93,14.24,12.5,11.74,12.03,,,
,2006-01-27,2006-01-25,WFSL,Washington Federal Inc,"Savings Institution, Federally Chartered",Financial,Depository Institutions,4.0,P - Purchase,24.0,2053.0,39451.0,5.0,47199.0,False,False,False,22.99,23.22,23.97,24.28,24.28,23.89,24.02,23.62,23.12,23.5,24.54,24.29,24.0,23.77,23.19,23.42,23.61,23.32,23.83,24.06,24.16,24.31,24.21,24.08,23.47,23.44,23.99,22.96,22.63,23.07,22.92,22.71,22.71,23.02,22.93,22.24,22.38,22.26,22.66,21.87,22.59,22.02,22.24,22.39,22.7,22.42,22.35,22.42,23.27,23.31,23.12,23.12,23.27,23.46,23.0,23.84,23.59,23.76,23.75,23.38,23.34,22.48,22.76,23.55,23.37,23.77,23.47,23.41,23.04,23.49,23.57,23.3,22.87,23.5,23.73,24.1,24.64,24.32,25.01,25.14,24.36,24.2,24.06,24.18,24.38,24.08,23.0,22.35,21.95,23.91,26.06,26.02,26.54,26.1,26.23,26.13,26.28,27.02,25.79,24.43,24.13,22.74,23.46,22.28,22.12,22.99,23.38,21.04,2,,,,,,,,WA,21.76,20.86,19.09,19.4,22.82,,,
,2006-01-27,2006-01-26,TORM,Tor Minerals International Inc,Industrial Inorganic Chemicals,Manufacturing,Chemicals,3.0,P - Purchase,13.51,56500.0,171615.0,49.0,127561.0,False,False,False,25.18,25.87,25.06,25.43,25.06,23.51,21.8,21.2,20.3,10.7,11.81,14.31,13.51,14.4,12.98,12.66,14.19,13.19,13.05,13.29,13.32,13.31,12.5,12.22,12.15,13.51,11.97,11.12,10.96,10.89,10.78,10.16,11.08,10.93,10.66,10.14,9.2,9.25,8.59,8.43,8.28,8.86,9.07,10.08,9.18,9.6,9.5,9.33,9.53,10.01,10.5,10.94,11.15,11.21,11.19,11.46,12.0,11.66,14.12,16.81,14.38,14.52,15.1,14.5,14.99,15.62,12.85,13.4,13.31,13.21,13.41,13.67,13.74,13.7,14.03,13.9,13.57,13.12,12.95,12.73,11.59,12.25,12.04,12.43,11.12,11.2,11.05,10.76,11.4,10.36,9.95,10.59,10.76,10.19,9.91,10.2,10.22,9.99,10.21,9.96,10.15,10.26,10.68,11.06,11.16,11.3,11.05,10.72,1,,,,,,,,,10.81,10.56,10.0,,,,,
D,2006-01-27,2006-01-26,PPHM,Peregrine Pharmaceuticals Inc,In Vitro & In Vivo Diagnostic Substances,Manufacturing,Chemicals,1.0,P - Purchase,1.18,22000.0,2498505.0,1.0,22119.0,False,False,False,1.04,1.06,1.0,0.97,0.97,1.02,0.94,0.91,0.92,0.92,0.96,1.05,1.18,1.57,1.48,1.51,1.44,1.29,1.24,1.4,1.4,1.48,1.34,1.36,1.4,1.34,1.5,1.4,1.57,1.54,1.7,1.74,1.65,1.71,1.54,1.38,1.31,1.39,1.39,1.27,1.37,1.32,1.37,1.21,1.22,1.32,1.24,1.31,1.36,1.41,1.41,1.31,1.27,1.3,1.25,1.25,1.29,1.23,1.19,1.1,1.18,1.17,1.16,1.17,1.21,1.14,1.08,0.97,0.91,0.93,1.02,0.97,1.05,1.14,1.06,0.98,0.98,0.96,0.98,1.2,1.04,0.98,0.95,0.89,0.82,0.77,0.75,0.75,0.73,0.67,0.61,0.64,0.71,0.73,0.69,0.66,0.67,0.67,0.65,0.62,0.61,0.6,0.55,0.47,0.45,0.53,0.5,0.4,1,,,,,,,,CA,0.39,0.39,0.37,0.38,0.38,,,
DM,2006-01-27,2006-01-26,TSC,Stephan Co,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing,Chemicals,2.0,P - Purchase,3.43,108800.0,708014.0,18.0,361485.0,False,False,False,3.95,3.87,3.52,3.3,3.14,3.41,3.45,3.59,3.44,3.35,3.68,3.43,3.43,3.53,3.51,3.5,3.45,3.4,3.42,3.5,3.52,3.6,3.54,3.46,3.55,3.42,3.45,3.31,3.55,3.32,3.12,3.12,3.17,3.0,2.95,2.97,2.94,3.0,3.04,3.05,3.07,3.03,3.0,3.0,3.05,3.03,3.1,3.1,3.12,3.28,3.49,3.54,3.6,3.62,3.69,3.58,3.72,3.75,3.69,3.7,4.36,4.01,3.8,3.75,3.86,3.89,4.31,4.08,3.89,3.85,3.74,3.75,3.78,3.8,4.06,4.24,3.96,3.91,4.0,4.1,3.9,3.73,3.72,3.73,3.74,3.67,3.73,3.58,3.28,3.38,3.26,3.3,3.15,3.47,2.9,,,,,,,,,,,,,,1,,,,,,,,FL,,,,,,XASE,,
,2006-01-27,2006-01-25,PVTB,Privatebancorp Inc,State Commercial Banks,Financial,Depository Institutions,4.0,P - Purchase,0.0,1630.0,765214.0,0.0,60666.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,"company name doesnt match, PVTB Privatebancorp Inc, name found: PRIVATE BANCORP INC. date: 2006-01-27 00:00:00",
,2006-01-27,2006-01-25,PCG,Pg&e Corp,Electric & Other Services Combined,Transportation & Utilities,"Electric, Gas, & Sanitary Svcs",2.0,P - Purchase,37.45,836.0,53938.0,2.0,31608.0,False,False,False,36.17,34.96,34.95,36.34,36.87,36.48,37.45,37.29,37.16,37.65,37.28,37.43,37.45,36.86,36.81,37.75,38.17,38.05,39.72,39.78,40.21,39.71,39.43,39.48,38.95,39.53,39.91,38.59,38.9,39.91,40.39,39.07,38.94,38.71,39.49,39.71,40.76,41.56,41.1,41.44,41.5,41.26,41.71,41.34,41.02,42.01,41.94,41.83,42.15,43.09,43.26,43.05,44.39,45.34,45.28,46.72,46.65,47.58,47.69,45.99,46.49,45.96,46.25,47.37,47.91,48.08,47.02,45.49,45.97,46.75,48.95,49.53,50.06,50.12,51.9,51.42,51.46,51.56,50.82,49.5,46.31,46.79,45.5,45.34,44.76,45.35,46.06,44.39,44.02,44.5,45.32,44.86,44.5,44.02,46.31,47.86,48.2,48.74,48.18,45.75,47.89,44.84,44.7,44.38,45.76,46.21,46.91,45.77,2,,,,,,,74113832273.33,CA,44.1,43.47,44.11,43.44,40.65,XNYS,,CS
,2006-01-27,2006-01-12,RPI,Roberts Realty Investors Inc,Real Estate Investment Trusts,Financial,Holding & Investment Offices,2.0,P - Purchase,7.8,12100.0,1338623.0,1.0,92895.0,False,False,False,,,,7.84,7.83,7.7,7.54,7.83,7.8,7.89,7.88,7.82,7.8,7.85,7.9,7.9,7.92,7.98,7.88,7.9,7.9,7.95,7.87,7.65,7.8,8.02,8.09,8.03,7.9,7.89,7.89,7.92,7.82,7.88,8.04,8.01,8.0,8.1,7.98,8.02,7.94,7.86,7.81,8.0,7.76,7.86,7.83,7.75,7.93,7.88,7.85,7.66,7.75,7.9,7.79,7.73,7.9,7.81,7.91,7.77,7.9,7.77,7.78,7.85,7.7,7.52,7.6,7.55,7.55,7.44,7.4,7.47,7.46,7.54,7.6,7.55,7.51,7.21,7.28,7.28,6.71,6.89,6.6,6.71,6.1,6.17,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,GA,,,,,,XASE,,
M,2006-01-27,2006-01-25,EXX.A,Exx Inc,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",Manufacturing,Miscellaneous Manufacturing,1.0,P - Purchase,2.1,66100.0,3517582.0,2.0,132652.0,False,False,False,,,2.05,2.16,2.01,1.97,1.98,1.97,1.97,2.01,2.01,2.03,2.1,2.16,2.07,2.15,2.1,2.17,2.33,2.71,2.25,2.09,2.07,2.33,2.31,2.2,2.31,2.36,2.5,2.49,2.51,2.58,2.4,2.32,2.47,2.47,2.89,2.91,3.1,3.02,3.12,3.12,3.03,3.17,3.5,4.41,4.4,4.11,4.16,3.43,3.62,3.46,3.5,3.5,3.43,3.74,3.76,3.59,3.5,3.5,3.39,3.42,3.54,3.31,3.2,3.27,3.17,3.56,3.54,3.56,3.54,3.51,2.57,2.55,2.3,2.54,2.98,3.05,3.14,3.17,3.1,3.14,3.08,3.06,3.08,3.14,3.05,3.09,3.14,3.13,3.04,3.0,2.95,2.82,2.68,2.98,3.0,2.96,3.08,3.09,2.98,2.91,3.04,,,,,,2,,,,,,,,NV,,,,,,XASE,,
,2006-01-27,2005-11-22,NBOH,National Bancshares Corp ,National Commercial Banks,Financial,Depository Institutions,3.0,P - Purchase,0.0,300.0,23975.0,1.0,6940.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,No Data,
