Type,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Sector,Subsector,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,active,done,skip,-12w,-11w,-10w,-9w,-8w,-7w,-6w,-5w,-4w,-3w,-2w,-1w,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,61w,62w,63w,64w,65w,66w,67w,68w,69w,70w,71w,72w,73w,74w,75w,76w,77w,78w,79w,80w,81w,82w,83w,84w,85w,86w,87w,88w,89w,90w,91w,92w,93w,94w,95w,Days_Between_TnF,Extra_Notes,Exchange,Stock_Type,Market_Cap,State,Average_Volumn,extra_notes,exchange,state,96w,97w,98w,99w,100w,market_cap,stock_type
D,2007-05-25,2007-05-25,BDGE,Bridge Bancorp Inc,National Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,0.0,290.0,4070.0,8.0,7076.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,No Data or data doesnt belong to company,,,,,,,,,
M,2007-05-25,2007-05-23,DCAP,Dcap Group Inc,"Insurance Agents, Brokers & Service",Financial,Insurance Agents,1.0,P - Purchase,2.63,60336.0,355534.0,20.0,136280.0,False,False,False,,,,,,2.84,2.33,2.25,2.31,2.35,2.18,2.37,2.63,2.54,2.6,2.6,2.43,2.75,2.41,2.34,2.2,2.22,2.26,2.11,2.15,2.05,1.56,1.8,1.37,1.36,1.65,1.23,1.4,1.49,1.35,1.35,1.1,1.02,0.96,1.21,0.8,0.73,0.51,0.36,0.45,0.48,0.44,0.85,0.45,0.19,0.55,0.46,0.65,0.85,2.0,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,2007-05-25,2007-05-23,WLSA,Wireless Age Communications Inc,Telephone Communications (No Radiotelephone),Transportation & Utilities,Communications,1.0,P - Purchase,0.0,76500.0,76500.0,0.0,9180.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,No Data,,,,,,,,,
DM,2007-05-25,2007-05-23,MNCP,Motient Corp,Communications Services,Transportation & Utilities,Communications,1.0,P - Purchase,0.0,8627515.0,42437633.0,26.0,83685910.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,No Data or data doesnt belong to company,,,,,,,,,
,2007-05-25,2007-05-23,GST,Gastar Exploration Ltd,Crude Petroleum & Natural Gas,Mining,Oil & Gas Extraction,1.0,P - Purchase,10.16,1757195.0,33908836.0,5.0,3514390.0,False,False,False,8.05,7.91,8.3,10.44,11.05,10.98,10.99,10.55,10.97,10.88,10.22,10.39,10.16,10.64,10.4,10.83,10.25,11.07,10.63,9.7,9.36,8.97,9.46,9.21,8.71,7.94,7.9,8.03,7.56,7.3,7.4,7.5,7.94,7.28,7.81,8.56,7.08,6.19,5.47,5.19,4.99,5.67,6.18,6.28,5.85,5.2,6.19,5.94,6.21,6.65,6.85,6.69,6.99,6.12,6.25,6.16,6.12,6.58,6.85,8.59,9.11,9.7,9.06,10.5,10.59,11.56,12.28,12.75,11.26,11.85,10.85,10.05,9.29,8.73,8.7,9.09,8.43,7.85,7.17,7.38,6.1,3.81,3.2,3.09,2.72,2.84,2.24,2.02,1.97,1.61,1.86,1.8,1.63,2.84,3.56,2.99,3.08,3.11,3.5,3.05,2.64,2.74,2.42,2.54,2.89,2.73,2.66,2.6,2,,,,,,,,XASE,TX,2.78,3.14,2.9,2.51,2.02,,
M,2007-05-25,2007-05-23,NVGN,Novogen Ltd,Pharmaceutical Preparations,Manufacturing,Chemicals,1.0,P - Purchase,8.99,85499.0,2390315.0,4.0,826573.0,False,False,False,10.62,10.01,9.7,9.84,10.09,9.96,10.33,10.04,10.17,9.97,9.61,9.26,8.99,9.24,9.13,8.35,8.53,8.4,8.6,8.75,8.75,8.29,8.14,7.25,7.25,7.71,7.91,8.63,8.09,8.09,7.73,7.79,7.68,7.47,7.87,7.74,7.39,7.18,6.2,5.82,5.64,5.15,5.15,5.51,5.57,5.68,5.6,5.52,5.21,5.4,5.07,4.93,4.07,4.67,5.17,5.42,6.15,8.74,8.32,7.7,7.81,8.42,7.6,7.01,6.53,6.45,5.92,5.78,5.05,5.08,5.4,5.49,5.37,6.29,7.13,6.99,7.06,5.57,5.0,5.05,4.64,4.05,3.59,3.35,3.77,3.0,3.07,2.55,2.49,2.45,2.12,2.13,2.05,2.83,3.04,2.45,2.38,2.45,2.27,2.19,1.92,1.59,1.29,1.72,1.64,1.55,1.8,1.6,2,,,,,,,,,C3,1.74,1.74,1.85,4.13,,,
,2007-05-25,2007-05-23,GOLF,Golfsmith International Holdings Inc,Miscellaneous Shopping Goods Stores,Retail Trade,Miscellaneous Retail,1.0,P - Purchase,7.12,2123.0,21309.0,11.0,14965.0,False,False,False,10.66,10.72,8.58,8.54,8.67,9.04,8.43,8.03,7.36,7.16,6.91,6.75,7.12,6.99,6.94,6.9,6.58,7.03,7.04,7.4,7.82,7.27,7.07,6.39,6.06,5.91,5.94,6.55,7.29,6.99,6.92,6.93,6.65,6.29,5.86,5.54,4.33,4.46,4.05,3.98,3.82,4.12,3.87,3.79,3.25,3.63,3.89,3.47,3.51,3.08,3.02,2.31,2.88,2.59,2.29,2.11,2.13,1.97,1.69,2.01,2.36,2.48,1.98,2.16,2.06,2.27,2.39,2.25,2.29,2.42,2.39,2.38,2.63,3.07,3.28,3.43,3.39,3.46,2.99,2.76,2.64,2.33,1.47,1.43,1.08,1.0,1.11,1.1,1.0,1.02,0.93,0.89,0.84,0.71,0.88,0.87,0.83,0.89,0.92,0.88,0.94,0.92,0.86,0.96,1.02,0.95,1.04,0.98,2,,,,,,,,,TX,1.13,1.04,1.41,1.14,1.2,,
,2007-05-25,2007-05-23,FFDF,Ffd Financial Corp,"Savings Institution, Federally Chartered",Financial,Depository Institutions,1.0,P - Purchase,5.49,197.0,36000.0,1.0,3237.0,False,False,False,,,,,,5.75,5.77,5.74,5.31,5.37,5.42,5.5,5.49,6.61,5.31,5.36,5.31,5.21,4.98,5.1,4.94,4.74,4.79,4.94,4.98,4.87,4.78,4.86,4.84,5.02,4.83,4.88,4.83,5.49,5.43,4.9,4.83,4.85,5.0,4.67,4.66,4.27,4.65,4.49,3.95,3.84,4.33,4.7,4.16,4.24,4.17,3.67,3.7,3.74,4.17,3.89,3.89,3.63,3.66,3.55,3.67,3.75,3.5,3.52,3.48,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,2007-05-25,2007-05-23,SHRP,Sharper Image Corp,Miscellaneous Shopping Goods Stores,Retail Trade,Miscellaneous Retail,7.0,P - Purchase,10.98,4182638.0,9030634.0,86.0,38689402.0,False,False,False,10.2,9.92,9.94,10.46,10.88,11.52,11.32,11.33,11.34,10.87,10.68,9.77,10.98,12.38,12.19,12.77,11.55,10.53,10.32,9.96,9.41,7.83,7.32,5.64,4.25,4.9,5.0,4.19,4.25,4.09,3.9,3.47,2.46,3.06,2.78,2.96,3.11,3.25,3.39,3.31,2.93,2.78,2.79,2.9,2.42,2.12,2.15,2.17,1.83,0.46,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,CA,,,,,,,
,2007-05-25,2007-05-23,UGNE,Unigene Laboratories Inc,Medicinal Chemicals & Botanical Products,Manufacturing,Chemicals,1.0,P - Purchase,0.0,600.0,64860.0,1.0,1440.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,No Data,,,,,,,,,
