Type,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Sector,Subsector,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,active,done,skip,-12w,-11w,-10w,-9w,-8w,-7w,-6w,-5w,-4w,-3w,-2w,-1w,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,61w,62w,63w,64w,65w,66w,67w,68w,69w,70w,71w,72w,73w,74w,75w,76w,77w,78w,79w,80w,81w,82w,83w,84w,85w,86w,87w,88w,89w,90w,91w,92w,93w,94w,95w,Days_Between_TnF,Extra_Notes,Exchange,Stock_Type,Market_Cap,State,Average_Volumn,exchange,stock_type,market_cap,state,96w,97w,98w,99w,100w,extra_notes
,2012-11-28,2012-11-28,AGCO,Agco Corp ,Farm Machinery & Equipment,Manufacturing,Ind Machinery & Computers,1.0,P - Purchase,46.46,2600919.0,2935691.0,777.0,116089093.0,False,False,False,42.37,43.47,47.16,46.84,47.23,47.54,46.93,48.26,45.44,45.23,44.24,44.43,46.46,46.4,48.88,49.0,48.17,50.43,50.95,51.89,54.09,53.38,54.67,52.89,50.51,52.73,54.16,51.62,50.89,50.27,51.33,48.26,51.22,52.89,55.88,55.09,53.58,55.75,55.29,54.14,52.16,50.72,51.29,54.42,55.76,54.43,58.05,56.86,56.54,58.12,56.98,58.8,59.3,60.67,60.76,61.18,62.28,64.11,59.92,58.65,57.69,57.58,57.77,58.3,59.65,57.1,58.85,58.18,56.92,55.36,53.43,52.95,51.23,51.9,51.41,52.6,53.29,52.58,53.65,55.02,55.33,55.26,56.87,55.23,55.04,54.52,53.93,54.31,54.98,54.82,55.29,55.87,56.05,53.37,53.22,52.51,48.42,48.53,48.64,48.48,48.66,48.11,46.78,45.66,45.73,46.94,42.47,43.21,0,,,,,,,XNYS,CS,3452100400.49,GA,44.71,43.83,45.36,44.16,44.76,
M,2012-11-28,2012-11-27,TRT,Trio Tech International,Special Industry Machinery,Manufacturing,Ind Machinery & Computers,1.0,P - Purchase,0.0,22750.0,13425.0,-244.0,34853.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"company name doesnt match, TRT Trio Tech International, name found: TRIO-TECH INTL date: 2012-11-28 00:00:00"
M,2012-11-28,2012-11-26,TLF,Tandy Leather Factory Inc,Leather & Leather Products,Manufacturing,Leather,1.0,P - Purchase,5.33,96083.0,2933297.0,3.0,504749.0,False,False,False,,5.46,5.41,5.53,5.53,5.27,5.31,5.29,5.36,5.36,5.26,5.23,5.33,5.46,5.4,5.41,5.5,5.66,5.65,5.83,5.8,5.87,5.84,6.02,6.08,6.07,7.11,6.99,7.11,6.88,7.15,6.85,7.24,7.22,7.1,7.38,7.49,7.89,8.13,7.95,7.64,7.87,8.3,8.25,8.23,8.67,8.81,8.83,8.77,8.86,8.3,8.39,8.29,8.07,7.93,7.97,8.0,8.17,8.22,8.21,8.36,8.38,8.26,8.68,8.58,8.77,9.74,9.76,9.48,9.41,8.75,8.54,8.84,9.49,9.56,9.81,9.38,9.74,9.67,9.62,9.66,9.44,9.55,9.74,9.69,9.5,9.49,9.49,9.39,9.46,9.29,9.04,9.08,9.05,9.04,9.19,9.42,9.44,9.46,9.51,9.27,9.4,9.49,9.54,9.52,9.57,9.64,9.58,2,,,,,,,,,,TX,9.24,9.12,9.29,9.08,9.48,
M,2012-11-28,2012-11-26,NGL,Ngl Energy Partners LP,Miscellaneous Retail,Retail Trade,Miscellaneous Retail,2.0,P - Purchase,22.98,60000.0,845557.0,8.0,1398582.0,False,False,False,25.48,24.88,24.86,24.78,24.37,24.72,24.4,24.41,24.53,24.17,24.19,23.5,22.98,22.21,22.38,22.25,21.83,22.74,23.67,23.62,25.11,24.07,24.9,24.31,24.15,24.07,24.56,25.33,25.73,27.09,28.32,27.71,29.48,28.93,29.81,29.34,29.54,27.94,28.45,29.49,29.03,30.11,31.28,29.25,29.31,29.17,28.94,29.26,29.35,30.07,30.96,30.3,32.32,31.26,31.13,31.61,31.51,31.99,31.91,31.15,31.88,32.06,32.69,32.36,31.61,31.43,32.98,33.91,33.87,35.35,35.31,34.82,36.37,36.33,36.52,36.8,36.38,37.33,36.77,37.59,39.32,39.58,38.41,38.71,38.24,38.54,38.85,39.38,41.4,43.27,42.85,43.62,43.69,43.51,42.46,44.3,42.95,40.59,42.02,43.15,42.58,42.53,41.82,42.38,39.91,38.67,32.65,34.29,2,,,,,,,XNYS,CS,3003987506.02,OK,36.3,34.24,32.92,33.09,38.25,
,2012-11-28,2012-11-26,ATEC,"Alphatec Holdings, Inc.",Surgical & Medical Instruments & Apparatus,Manufacturing,Specialty Instruments,1.0,P - Purchase,18.39,30000.0,579111.0,5.0,46700.0,False,False,False,19.86,20.76,20.7,19.84,19.77,21.3,21.11,20.61,20.43,19.98,18.68,18.57,18.39,20.7,22.32,21.27,19.92,20.88,20.4,20.16,20.7,20.16,19.41,20.39,20.37,23.85,26.22,26.46,25.44,24.27,24.8,22.0,21.93,21.51,22.62,23.58,23.01,23.28,23.28,23.25,24.12,24.51,26.88,26.94,28.68,27.78,27.36,24.33,23.34,24.18,23.82,23.82,23.94,24.67,23.64,23.1,23.7,23.25,23.25,22.95,22.14,21.6,23.49,22.8,21.72,23.25,24.63,24.84,25.26,27.48,26.73,26.19,27.6,22.41,17.61,15.12,16.98,20.7,19.62,18.06,17.46,17.05,17.58,16.17,15.9,16.44,16.32,17.94,16.23,16.74,16.35,16.38,18.21,16.56,16.01,16.23,16.8,16.65,19.44,18.57,19.11,19.23,20.28,20.55,20.46,19.36,18.66,17.67,2,,,,,,,,,149932493.42,CA,17.51,18.36,17.07,16.68,16.77,
DM,2012-11-28,2012-11-26,SONA,Southern National Bancorp of Virginia Inc,State Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,8.07,500.0,441195.0,0.0,4070.0,False,False,False,,7.63,7.7,7.93,8.0,8.02,8.15,8.0,8.07,8.0,8.09,8.11,8.07,8.14,8.03,8.03,8.06,8.16,8.52,8.97,9.26,9.63,9.99,9.95,9.52,9.89,9.74,9.57,9.63,9.93,9.86,10.29,10.21,10.19,10.07,10.04,9.54,10.16,9.52,9.47,9.21,9.43,9.32,9.48,9.95,10.07,9.83,9.96,9.72,9.87,9.88,9.94,9.66,9.8,9.78,9.57,9.66,9.64,9.87,9.82,9.75,9.84,9.76,9.91,9.96,9.99,10.13,10.04,10.07,10.17,10.2,10.07,10.1,10.09,10.04,10.1,9.95,9.83,10.14,10.14,10.18,10.36,10.32,10.15,10.17,10.31,10.35,10.31,10.71,10.53,11.32,11.08,10.7,10.65,10.71,10.75,10.66,10.7,10.65,10.83,11.12,11.56,11.75,11.64,11.43,11.38,11.44,12.21,2,,,,,,,,,,VA,11.36,11.7,,,,
,2012-11-28,2012-11-26,QLTY,Quality Distribution Inc,Trucking (No Local),Transportation & Utilities,Road Freight Transportation,4.0,P - Purchase,6.29,44000.0,181901.0,32.0,240220.0,False,False,False,9.72,9.99,10.37,9.95,9.29,9.34,9.27,8.93,8.66,5.95,5.23,5.12,6.29,6.81,6.47,6.17,5.92,6.57,6.79,6.96,7.64,7.83,8.18,8.45,7.76,8.46,8.85,9.18,8.54,7.93,7.77,7.18,7.69,8.21,8.39,8.42,8.71,9.19,9.76,9.73,9.15,9.02,10.17,10.68,10.73,10.44,10.18,8.86,8.61,9.31,9.26,9.49,9.51,9.3,9.5,9.47,9.9,10.38,10.66,10.2,10.66,11.3,11.88,12.88,12.5,12.92,13.36,14.21,14.29,14.45,14.07,13.63,13.12,14.1,14.13,13.39,13.59,13.17,13.02,13.24,12.52,12.46,12.95,12.53,13.53,13.53,13.21,14.53,14.91,15.17,15.29,14.64,15.32,15.21,14.93,15.13,13.33,14.1,14.07,13.92,13.84,14.6,14.25,13.81,13.03,12.37,10.81,11.77,2,,,,,,,,,,FL,11.99,12.75,11.21,11.68,12.49,
M,2012-11-28,2012-11-26,VSCI,Vision Sciences Inc ,Electromedical & Electrotherapeutic Apparatus,Manufacturing,Specialty Instruments,1.0,P - Purchase,1.12,224852.0,9283520.0,2.0,252530.0,False,False,False,1.34,1.37,1.25,1.29,1.31,1.32,1.27,1.28,1.31,1.2,1.13,1.1,1.12,1.15,1.09,1.14,1.07,1.13,1.15,1.1,1.08,1.02,1.05,0.97,1.04,1.07,1.11,1.07,1.1,1.09,1.03,1.04,1.0,1.0,1.03,1.08,1.05,1.04,0.98,1.02,0.97,1.06,1.06,0.99,0.97,0.95,0.95,0.94,0.93,0.97,0.98,0.92,0.88,0.86,1.04,0.93,0.96,0.93,0.85,0.91,0.92,0.99,1.02,1.1,1.01,1.03,1.02,1.15,1.13,1.36,1.27,1.29,1.33,1.52,1.54,1.62,1.56,1.46,1.19,1.25,1.18,1.06,1.08,1.13,1.04,1.02,1.08,1.17,1.18,1.13,1.13,1.16,1.18,1.16,1.07,1.04,1.02,0.91,1.0,0.9,0.98,1.06,1.03,0.95,0.95,0.93,0.92,0.86,2,,,,,,,,,,NY,0.99,0.99,1.03,1.05,1.08,
,2012-11-28,2012-11-26,TST,"Thestreet, Inc.",Newspapers: Publishing or Publishing & Printing,Manufacturing,Printing & Publishing,1.0,P - Purchase,1.67,15243.0,36866.0,70.0,25183.0,False,False,False,1.39,1.38,1.47,1.49,1.54,1.6,1.6,1.55,1.59,1.59,1.61,1.59,1.67,1.65,1.65,1.65,1.65,1.66,1.6,1.62,1.63,1.69,1.67,1.78,1.86,1.84,1.83,1.88,1.92,1.9,1.88,1.9,1.88,1.92,1.9,1.84,1.92,1.99,1.9,1.87,1.9,1.86,1.84,1.86,1.91,2.01,2.15,2.26,2.23,2.25,2.2,2.2,2.15,2.1,2.1,2.12,2.32,2.39,2.29,2.34,2.31,2.2,2.21,2.15,2.09,2.2,2.22,2.26,2.55,2.7,2.69,2.71,2.66,2.67,2.92,2.89,2.78,2.73,2.58,2.62,2.51,2.51,2.62,2.54,2.63,2.46,2.54,2.6,2.6,2.54,2.48,2.33,2.49,2.3,2.37,2.38,2.44,2.42,2.52,2.4,2.36,2.35,2.2,2.19,2.21,2.21,2.24,2.2,2,,,,,,,,,,,2.12,2.24,2.18,2.19,2.2,
,2012-11-28,2012-11-26,PRSC,Providence Service Corp,Social Services,Services,Social Services,1.0,P - Purchase,13.49,109600.0,2210156.0,5.0,1379864.0,False,False,False,11.37,12.08,12.82,12.77,12.76,11.7,11.43,10.6,10.12,10.03,11.95,12.46,13.49,13.96,15.57,15.98,16.59,16.75,16.45,19.29,18.86,18.54,18.54,18.18,17.16,17.53,16.49,18.65,18.5,18.27,18.46,17.16,17.68,17.69,19.84,23.94,23.96,26.1,27.75,28.91,27.07,28.48,28.99,27.95,27.83,28.51,29.15,28.48,26.98,27.66,27.6,28.12,27.62,27.58,29.03,27.97,28.39,29.32,29.94,29.82,27.07,27.12,27.31,26.87,25.87,26.12,26.1,25.06,24.79,25.06,25.05,26.03,25.35,27.02,26.68,28.71,28.36,27.66,27.87,33.22,42.08,42.01,41.46,39.87,39.15,39.02,40.21,40.72,37.68,36.45,36.66,36.66,37.64,37.08,37.69,39.87,39.68,45.93,45.81,44.82,45.31,45.97,43.42,45.73,47.98,46.64,41.51,40.16,2,,,,,,,,,,AZ,40.22,44.34,38.02,34.9,36.69,
