Type,Filing_Date,Trade_Date,Ticker,Company_Name,Industry,Sector,Subsector,Insider_Amount,Trade_Type,Price,Qty,Owned,ΔOwn,Value,active,done,skip,-12w,-11w,-10w,-9w,-8w,-7w,-6w,-5w,-4w,-3w,-2w,-1w,0w,1w,2w,3w,4w,5w,6w,7w,8w,9w,10w,11w,12w,13w,14w,15w,16w,17w,18w,19w,20w,21w,22w,23w,24w,25w,26w,27w,28w,29w,30w,31w,32w,33w,34w,35w,36w,37w,38w,39w,40w,41w,42w,43w,44w,45w,46w,47w,48w,49w,50w,51w,52w,53w,54w,55w,56w,57w,58w,59w,60w,61w,62w,63w,64w,65w,66w,67w,68w,69w,70w,71w,72w,73w,74w,75w,76w,77w,78w,79w,80w,81w,82w,83w,84w,85w,86w,87w,88w,89w,90w,91w,92w,93w,94w,95w,Days_Between_TnF,Extra_Notes,Exchange,Stock_Type,Market_Cap,State,Average_Volumn,market_cap,state,96w,97w,98w,99w,100w,extra_notes,exchange,stock_type
,2013-07-26,2013-07-26,PWOD,Penns Woods Bancorp Inc,State Commercial Banks,Financial,Depository Institutions,1.0,P - Purchase,30.45,500.0,1432.0,54.0,23000.0,False,False,False,26.91,27.04,27.13,27.14,27.07,27.34,27.1,27.09,27.73,29.83,30.5,30.61,30.45,30.62,30.29,28.87,31.46,31.65,30.77,30.85,32.53,32.86,31.55,33.08,33.43,33.92,33.7,34.03,34.32,34.0,34.08,32.8,33.45,35.58,34.13,33.07,32.51,32.05,29.85,28.94,30.59,30.87,31.48,32.12,33.52,33.0,32.3,30.93,30.29,30.52,29.45,29.14,30.0,29.67,30.72,29.75,30.45,30.13,30.25,32.58,31.11,29.61,28.7,28.76,28.64,29.52,29.7,30.11,29.84,30.39,29.32,28.95,29.14,28.96,29.8,29.9,32.23,32.01,31.54,30.23,29.84,29.95,29.68,31.77,32.61,31.44,30.75,30.75,29.95,31.43,31.43,30.78,30.77,30.43,30.83,31.94,31.7,31.08,29.92,29.64,29.94,29.03,28.5,28.57,28.44,28.25,28.62,29.29,0,,,,,,,324561571.38,PA,30.03,29.66,29.01,28.9,29.38,,,
E,2013-07-26,2013-07-11,ACCA,"Acacia Diversified Holdings, Inc.",Motor Vehicles & Motor Vehicle Parts & Supplies,Wholesale Trade,Durable Goods,1.0,P - Purchase,0.0,6600.0,5900514.0,0.0,3171.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,No Data,,
D,2013-07-26,2013-07-23,GRBS,Greer Bancshares Inc,National Commercial Banks,Financial,Depository Institutions,2.0,P - Purchase,0.0,7876.0,166262.0,5.0,50550.0,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,No Data,,
D,2013-07-26,2012-11-28,CASY,Caseys General Stores Inc,Auto Dealers & Gasoline Stations,Retail Trade,Auto Dealers & Service Stations,1.0,P - Purchase,67.26,50.0,13300.0,0.0,2434.0,False,False,False,57.64,58.48,60.38,61.52,60.95,62.07,61.75,58.7,60.34,63.79,65.38,68.67,67.26,66.95,66.79,66.9,68.47,66.26,70.09,71.08,73.04,73.72,71.68,72.41,73.44,73.47,75.98,76.05,74.67,74.39,73.44,69.52,71.2,70.9,68.83,66.92,67.96,66.15,67.84,66.71,67.02,66.97,68.52,66.52,70.16,68.74,68.12,67.84,67.34,66.42,67.99,67.27,68.13,66.09,69.98,71.75,74.04,71.89,69.43,70.64,68.73,67.59,66.87,66.56,67.03,69.53,71.26,71.35,70.73,68.41,70.51,70.46,73.65,76.63,76.12,77.59,81.26,83.85,81.94,87.6,82.63,82.82,85.84,89.32,90.56,90.61,92.03,91.77,92.27,91.34,89.48,91.52,88.2,89.88,88.25,88.89,89.66,89.93,90.13,87.87,85.0,82.65,82.66,90.9,89.64,87.8,93.05,92.84,240,,,,,,,2491113945.39,IA,96.72,96.48,97.44,100.35,98.98,,,
,2013-07-26,2013-07-24,JONE,"Jones Energy, Inc.",Crude Petroleum & Natural Gas,Mining,Oil & Gas Extraction,1.0,P - Purchase,14.1,100.0,1333433.0,0.0,1404.0,False,False,False,,,,,,,,,,,,,14.1,14.04,14.03,13.87,14.42,14.79,16.23,16.51,16.13,16.51,16.27,16.8,17.32,15.94,16.57,14.02,14.08,14.63,13.98,14.72,14.89,14.81,14.64,15.18,15.02,15.49,15.53,15.2,17.25,15.53,15.59,15.43,13.56,13.95,15.12,15.06,15.13,15.28,15.38,15.15,16.69,17.03,17.02,17.88,18.34,18.9,19.54,19.61,18.96,18.13,18.93,18.36,18.68,18.19,18.3,19.2,18.36,18.52,18.63,18.89,16.14,12.92,12.4,10.93,12.58,13.25,13.29,13.09,10.07,10.51,10.1,11.55,11.23,10.14,9.62,9.85,10.06,12.06,10.21,9.22,8.55,8.49,8.04,8.64,8.91,9.45,9.05,9.49,9.8,10.84,11.31,9.95,9.9,9.78,9.76,9.33,2,,,,,,,,TX,9.52,8.87,8.66,8.11,7.39,,XNYS,CS
,2013-07-26,2013-07-24,SNV,Synovus Financial Corp,National Commercial Banks,Financial,Depository Institutions,7.0,P - Purchase,23.14,227600.0,4185940.0,6.0,703284.0,False,False,False,18.64,19.29,19.7,19.06,19.04,18.85,18.85,19.3,20.3,21.67,21.33,22.91,23.14,24.2,23.68,23.8,23.82,22.54,22.38,22.73,22.68,23.29,22.59,23.4,23.64,23.12,23.08,23.36,23.0,23.91,23.92,23.71,24.1,24.68,24.95,24.83,25.67,24.13,23.0,23.45,24.29,24.1,24.59,24.46,23.82,24.46,24.11,23.48,22.48,23.27,22.35,22.38,22.23,22.12,22.98,24.18,24.57,24.6,24.29,24.65,23.98,23.72,24.3,23.36,22.74,23.31,23.88,24.13,24.3,24.82,24.7,23.77,24.11,23.04,22.59,24.44,25.4,25.75,25.75,26.09,25.61,26.57,25.34,26.78,27.28,26.26,24.77,25.43,25.76,27.73,28.14,28.07,28.03,28.14,28.33,28.25,28.03,27.78,27.86,28.02,27.62,27.78,28.14,29.21,29.1,29.48,30.44,30.64,2,,,,,,,475820708.4,GA,30.8,31.11,30.36,31.34,31.92,,XNYS,CS
,2013-07-26,2013-07-24,ICEL,"Cellular Dynamics International, Inc.","Biological Products, (No Diagnostic Substances)",Manufacturing,Chemicals,1.0,P - Purchase,10.35,40000.0,2091282.0,2.0,480000.0,False,False,False,,,,,,,,,,,,,10.35,10.14,12.0,13.4,12.68,13.5,17.79,20.5,22.02,18.26,17.29,17.42,16.8,15.13,15.1,16.78,14.23,14.95,15.14,15.42,16.73,17.38,16.99,18.59,20.05,17.08,15.41,16.01,15.39,15.92,14.45,15.89,17.47,14.95,14.95,13.56,12.6,13.11,11.89,11.71,11.75,11.44,11.42,11.65,12.2,13.91,15.09,14.81,11.97,11.38,11.51,11.7,12.44,11.48,10.68,10.99,10.72,10.0,8.79,6.8,6.22,6.08,7.13,7.21,7.61,7.53,7.4,6.92,6.98,5.86,5.46,6.08,6.3,5.6,5.69,5.14,5.33,5.25,5.28,5.32,5.4,6.96,8.2,7.82,16.46,16.52,16.48,16.51,16.49,,,,,,,,2,,,,,,,,WI,,,,,,,,
M,2013-07-26,2013-07-24,SCSS,Select Comfort Corp,Household Furniture,Manufacturing,Furniture,1.0,P - Purchase,22.49,10000.0,14048.0,247.0,227294.0,False,False,False,20.84,21.41,21.95,20.72,22.08,21.9,24.43,24.15,24.97,25.71,27.48,23.9,22.49,22.61,22.33,21.31,23.24,24.75,24.73,24.08,24.53,24.72,25.59,25.03,18.17,18.51,18.71,19.62,19.83,20.81,20.29,20.47,20.96,21.61,21.26,17.38,16.5,16.67,16.06,16.8,17.66,17.8,18.14,17.66,17.09,17.63,18.06,17.52,17.62,19.12,18.34,18.58,18.63,18.58,18.8,19.34,19.41,19.93,20.14,20.87,19.81,20.45,20.54,20.24,20.91,21.43,22.19,22.25,22.38,21.78,20.4,20.65,20.79,20.24,21.44,25.57,25.91,26.23,26.43,26.52,25.9,25.77,26.09,27.32,27.21,27.8,27.69,29.19,30.13,31.36,32.11,31.37,32.23,32.09,33.28,34.18,33.7,33.72,33.82,33.88,32.88,31.7,31.23,31.26,30.46,30.91,31.07,29.27,2,,,,,,,,MN,30.42,30.45,30.08,30.39,26.64,,,
,2013-07-26,2013-07-24,DOC,Physicians Realty Trust,Real Estate Investment Trusts,Financial,Holding & Investment Offices,6.0,P - Purchase,11.57,42085.0,279041.0,18.0,483979.0,False,False,False,,,,,,,,,,,,11.61,11.57,11.6,11.58,11.46,11.42,11.4,11.66,12.1,11.98,12.36,12.39,12.86,12.79,12.77,12.72,12.56,12.21,12.0,11.2,11.64,12.18,12.72,12.71,12.84,13.08,12.46,12.2,12.62,12.83,13.29,13.67,13.22,13.21,13.63,13.88,13.62,13.23,13.42,13.7,13.28,12.97,12.88,13.55,14.41,14.18,14.2,14.21,14.34,14.39,14.49,14.3,14.14,14.3,14.42,14.66,14.74,14.51,13.88,13.85,13.92,13.83,13.85,14.27,14.94,15.4,15.4,15.86,15.46,15.35,15.63,15.67,16.75,16.71,17.08,16.77,17.08,17.61,16.85,16.72,16.55,16.58,15.89,16.67,17.73,17.6,17.66,17.38,17.47,17.5,16.58,16.31,16.67,16.54,16.22,16.06,15.78,2,,,,,,,2533329066.0,WI,15.39,15.43,16.07,15.94,16.08,,XNYS,CS
,2013-07-26,2013-07-24,SED,Sed International Holdings Inc,Computers & Peripheral Equipment & Software,Wholesale Trade,Durable Goods,1.0,P - Purchase,1.94,5000.0,225197.0,2.0,10000.0,False,False,False,,,,2.13,2.42,1.98,1.97,2.02,2.15,1.98,1.99,1.94,1.94,1.97,1.83,1.89,1.98,1.97,2.27,2.08,2.11,2.03,1.06,1.1,0.98,1.23,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,GA,,,,,,,XASE,CS
